rank,title,artist,album
73,러브스토리 (Feat. 크러쉬),SURAN (수란),러브스토리 (Love Story)
74,에너제틱 (Energetic),Wanna One(워너원),1X1=1(TO BE ONE)
75,그 사람을 아나요,임창정,그 사람을 아나요
76,빈차 (Feat. 오혁),에픽하이 (EPIK HIGH),WE'VE DONE SOMETHING WONDERFUL
77,팔레트 (Feat. G-DRAGON),아이유(IU),Palette
78,My My My!,Troye Sivan(트로이 시반),"Dance To This
"
79,마음이 Choppy (Feat. 허내인) (Prod. BOYCOLD),식케이 (Sik-K),마음이 Choppy
80,Rewrite The Stars,Zac Efron(잭 에프론),위대한 쇼맨 (The Greatest Showman) OST
81,비,폴킴(Paul Kim),비
82,종이비행기 (Hello) (feat. pH-1),윤하(Younha/ユンナ),종이비행기 (Hello)
83,폰서트,10CM,4.0
84,남이 될 수 있을까,볼빨간사춘기,남이 될 수 있을까
85,Perhaps Love (사랑인가요) (Prod.By 박근태),에릭남(Eric Nam),Your BGM Vol.1
86,The Greatest Show,Hugh Jackman(휴 잭맨),위대한 쇼맨 (The Greatest Showman) OST
87,매일 듣는 노래 (A Daily Song),황치열,Be Ordinary
88,Closer (feat. Halsey),The Chainsmokers(체인스모커스),Collage EP
89,Too Good At Goodbyes,Sam Smith(샘 스미스),The Thrill Of It All (Special Edition)
90,Lip & Hip,현아,Lip & Hip
91,잠 못 드는 밤 비는 내리고,아이유(IU),꽃갈피 둘
92,가을 아침,아이유(IU),꽃갈피 둘
93,What Lovers Do (feat. SZA),Maroon 5(마룬 파이브),Red Pill Blues [Deluxe Edition]
94,너였다면,정승환,또 오해영 (tvN 월화드라마) OST - Part.5
95,Santa Tell Me,Ariana Grande(아리아나 그란데),Santa Tell Me
96,BUTTON,장재인(JEIN),BUTTON
97,사랑하지 않은 것처럼,버즈,'Be One' - Buzz The 1st Mini Album
98,Something Just Like This,The Chainsmokers(체인스모커스),Memories...Do Not Open
99,내 편이 돼줘,Crush,내 편이 돼줘
100,헤어질 수 밖에,김나영,헤어질 수 밖에
