rank,title,artist,album
1,답장,김동률,답장
2,#첫사랑,볼빨간사춘기,#첫사랑
3,사랑한다 말해도 (Feat. 이소라),김동률,답장
4,그날처럼,장덕철,그날처럼
5,instagram,DEAN(딘),instagram
6,비밀정원,오마이걸(OH MY GIRL),비밀정원
7,Contact,김동률,답장
8,떠나지마요,블락비(Block B),Re:MONTAGE
9,Moonlight,김동률,답장
10,미안해,양다일,inside
11,선물,멜로망스(MeloMance),Moonlight
12,연극,김동률,답장
13,Havana (feat. Young Thug),Camila Cabello(카밀라 카베요),Camila
14,Heart Shaker,TWICE (트와이스),Merry & Happy
15,겨울소리,박효신,겨울소리
16,하루 일과,Zion.T,슬기로운 감빵생활 (tvN 수목드라마) OST - Part.9
17,비행운,문문(MoonMoon),LIFE IS BEAUTY FULL
18,기억의 빈자리,나얼(Na-Ul),기억의 빈자리
19,Tell Me,인피니트(Infinite),TOP SEED
20,한숨,이하이,SEOULITE
21,좋니,윤종신,LISTEN 010 좋니
22,좋았을걸,헤이즈(Heize),슬기로운 감빵생활 (tvN 수목드라마) OST - Part.5
23,좋아,민서 (MINSEO),2017 월간 윤종신 11월호
24,피카부 (Peek-A-Boo),Red Velvet (레드벨벳),Perfect Velvet - The 2nd Album
25,밤편지,아이유(IU),밤편지
26,DNA,방탄소년단,LOVE YOURSELF 承 'Her'
27,밤이 되니까,펀치 (Punch),밤이 되니까
28,all of my life,박원,0M
29,눈 (Feat. 이문세),Zion.T,눈
30,그리워하다,비투비,Brother Act.
31,하루의 끝 (End of a day),종현 (JONGHYUN),"종현 소품집 ""이야기 Op.1"""
32,Lonely (Feat. 태연),종현 (JONGHYUN),종현 소품집 '이야기 Op.2'
33,LIKEY,TWICE (트와이스),twicetagram
34,추위,윤종신,2017 월간 윤종신 12월호
35,바보야,허각,바보야
36,There's Nothing Holdin' Me Back,Shawn Mendes(션 멘데스),Illuminate [New Deluxe Ver.]
37,이 별,길구봉구,Star
38,노력,박원,1/24
39,칠해줘,마마무(Mamamoo),칠해줘
40,짙어져,멜로망스(MeloMance),옐로우 (Yellow - 웹드라마) OST - Part.2
41,Beautiful,Wanna One(워너원),1-1=0 (NOTHING WITHOUT YOU)
42,나의 사춘기에게,볼빨간사춘기,Red Diary Page.1
43,연애소설 (Feat. 아이유),에픽하이 (EPIK HIGH),WE'VE DONE SOMETHING WONDERFUL
44,첫눈처럼 너에게 가겠다,에일리(Ailee),도깨비 (tvN 금토드라마) OST - Part.9
45,덜덜덜,EXID,Full Moon
46,"그때의 나, 그때의 우리",어반자카파,"그때의 나, 그때의 우리"
47,시차 (We Are) (Feat. 로꼬 & GRAY),우원재,시차 (We Are)
48,My My My!,Troye Sivan(트로이 시반),"Dance To This
"
49,기우는 밤 (Feat. 긱스) (PROD. 프라이머리),소유 (SOYOU),RE:BORN
50,썸 탈꺼야,볼빨간사춘기,Red Diary Page.1
51,Shape of You,Ed Sheeran(에드 시런),÷ [Deluxe]
52,봄날,방탄소년단,YOU NEVER WALK ALONE
53,뿜뿜,모모랜드(MOMOLAND),GREAT!
54,가시나,선미,SUNMI SPECIAL EDITION [가시나]
55,마지막처럼,BLACKPINK,마지막처럼
56,뻔한 이별 (PROD. 13),소유 (SOYOU),RE:BORN
57,바보에게 바보가,지아,바보에게 바보가
58,Parade,윤하(Younha/ユンナ),RescuE
59,REALLY REALLY,WINNER,FATE NUMBER FOR
60,고양이 (feat. 아이유),선우정아(Sunwoojunga),고양이
61,"텐데... (Timeless) (Sung by 재현, 도영, 태일)",NCT U,텐데... (Timeless) - SM STATION
62,비도 오고 그래서 (Feat. 신용재),헤이즈(Heize),/// (너 먹구름 비)
63,Perfect Duet (with Beyonce),Ed Sheeran(에드 시런),Perfect Duet (with Beyonce)
64,Universe,EXO,"Universe - 겨울 스페셜 앨범, 2017"
65,나침반,이적,흔적 Part 1
66,고민보다 Go,방탄소년단,LOVE YOURSELF 承 'Her'
67,갈 수가 없어,벤,이번 생은 처음이라 (tvN 월화드라마) OST - Part.8
68,Blue,볼빨간사춘기,Red Diary Page.1
