rank,title,artist,album
1,그날처럼,장덕철,그날처럼
2,답장,김동률,답장
3,#첫사랑,볼빨간사춘기,#첫사랑
4,비밀정원,오마이걸(OH MY GIRL),비밀정원
5,instagram,DEAN(딘),instagram
6,사랑한다 말해도 (Feat. 이소라),김동률,답장
7,미안해,양다일,inside
8,선물,멜로망스(MeloMance),Moonlight
9,떠나지마요,블락비(Block B),Re:MONTAGE
10,Havana (feat. Young Thug),Camila Cabello(카밀라 카베요),Camila
11,Heart Shaker,TWICE (트와이스),Merry & Happy
12,비행운,문문(MoonMoon),LIFE IS BEAUTY FULL
13,뿜뿜,모모랜드(MOMOLAND),GREAT!
14,겨울소리,박효신,겨울소리
15,기억의 빈자리,나얼(Na-Ul),기억의 빈자리
16,좋니,윤종신,LISTEN 010 좋니
17,Tell Me,인피니트(Infinite),TOP SEED
18,DNA,방탄소년단,LOVE YOURSELF 承 'Her'
19,좋아,민서 (MINSEO),2017 월간 윤종신 11월호
20,Contact,김동률,답장
21,피카부 (Peek-A-Boo),Red Velvet (레드벨벳),Perfect Velvet - The 2nd Album
22,한숨,이하이,SEOULITE
23,좋았을걸,헤이즈(Heize),슬기로운 감빵생활 (tvN 수목드라마) OST - Part.5
24,all of my life,박원,0M
25,밤편지,아이유(IU),밤편지
26,밤이 되니까,펀치 (Punch),밤이 되니까
27,그리워하다,비투비,Brother Act.
28,눈 (Feat. 이문세),Zion.T,눈
29,LIKEY,TWICE (트와이스),twicetagram
30,바보야,허각,바보야
31,하루의 끝 (End of a day),종현 (JONGHYUN),"종현 소품집 ""이야기 Op.1"""
32,노력,박원,1/24
33,There's Nothing Holdin' Me Back,Shawn Mendes(션 멘데스),Illuminate [New Deluxe Ver.]
34,Moonlight,김동률,답장
35,Lonely (Feat. 태연),종현 (JONGHYUN),종현 소품집 '이야기 Op.2'
36,이 별,길구봉구,Star
37,추위,윤종신,2017 월간 윤종신 12월호
38,짙어져,멜로망스(MeloMance),옐로우 (Yellow - 웹드라마) OST - Part.2
39,연애소설 (Feat. 아이유),에픽하이 (EPIK HIGH),WE'VE DONE SOMETHING WONDERFUL
40,나의 사춘기에게,볼빨간사춘기,Red Diary Page.1
41,Beautiful,Wanna One(워너원),1-1=0 (NOTHING WITHOUT YOU)
42,덜덜덜,EXID,Full Moon
43,시차 (We Are) (Feat. 로꼬 & GRAY),우원재,시차 (We Are)
44,첫눈처럼 너에게 가겠다,에일리(Ailee),도깨비 (tvN 금토드라마) OST - Part.9
45,Shape of You,Ed Sheeran(에드 시런),÷ [Deluxe]
46,"그때의 나, 그때의 우리",어반자카파,"그때의 나, 그때의 우리"
47,마지막처럼,BLACKPINK,마지막처럼
48,썸 탈꺼야,볼빨간사춘기,Red Diary Page.1
49,봄날,방탄소년단,YOU NEVER WALK ALONE
50,연극,김동률,답장
51,기우는 밤 (Feat. 긱스) (PROD. 프라이머리),소유 (SOYOU),RE:BORN
52,칠해줘,마마무(Mamamoo),칠해줘
53,Say Yes,정준일,ELEPHANT
