rank,title,artist,album
54,하루 일과,Zion.T,슬기로운 감빵생활 (tvN 수목드라마) OST - Part.9
55,가시나,선미,SUNMI SPECIAL EDITION [가시나]
56,REALLY REALLY,WINNER,FATE NUMBER FOR
57,비도 오고 그래서 (Feat. 신용재),헤이즈(Heize),/// (너 먹구름 비)
58,고민보다 Go,방탄소년단,LOVE YOURSELF 承 'Her'
59,뻔한 이별 (PROD. 13),소유 (SOYOU),RE:BORN
60,Hell O,정준일,ELEPHANT
61,This Is Me,Keala Settle,위대한 쇼맨 (The Greatest Showman) OST
62,Blue,볼빨간사춘기,Red Diary Page.1
63,바보에게 바보가,지아,바보에게 바보가
64,Parade,윤하(Younha/ユンナ),RescuE
65,Perfect Duet (with Beyonce),Ed Sheeran(에드 시런),Perfect Duet (with Beyonce)
66,비,폴킴(Paul Kim),비
67,나침반,이적,흔적 Part 1
68,눈 떠보니 이별이더라,포맨 (4MEN),REMEMBER ME
69,빨간 맛 (Red Flavor),Red Velvet (레드벨벳),The Red Summer - Summer Mini Album
70,갈 수가 없어,벤,이번 생은 처음이라 (tvN 월화드라마) OST - Part.8
71,My My My!,Troye Sivan(트로이 시반),"Dance To This
"
72,가을 안부,먼데이 키즈(Monday Kiz),가을 안부
73,에너제틱 (Energetic),Wanna One(워너원),1X1=1(TO BE ONE)
74,Universe,EXO,"Universe - 겨울 스페셜 앨범, 2017"
75,네 옆에 있을게,멜로망스(MeloMance),화유기 (tvN 주말드라마) OST - Part.3
76,고양이 (feat. 아이유),선우정아(Sunwoojunga),고양이
77,러브스토리 (Feat. 크러쉬),SURAN (수란),러브스토리 (Love Story)
78,그 사람을 아나요,임창정,그 사람을 아나요
79,종이비행기 (Hello) (feat. pH-1),윤하(Younha/ユンナ),종이비행기 (Hello)
80,팔레트 (Feat. G-DRAGON),아이유(IU),Palette
81,빈차 (Feat. 오혁),에픽하이 (EPIK HIGH),WE'VE DONE SOMETHING WONDERFUL
82,Perhaps Love (사랑인가요) (Prod.By 박근태),에릭남(Eric Nam),Your BGM Vol.1
83,Too Good At Goodbyes,Sam Smith(샘 스미스),The Thrill Of It All (Special Edition)
84,폰서트,10CM,4.0
85,남이 될 수 있을까,볼빨간사춘기,남이 될 수 있을까
86,Rewrite The Stars,Zac Efron(잭 에프론),위대한 쇼맨 (The Greatest Showman) OST
87,Closer (feat. Halsey),The Chainsmokers(체인스모커스),Collage EP
88,Lip & Hip,현아,Lip & Hip
89,매일 듣는 노래 (A Daily Song),황치열,Be Ordinary
90,너였다면,정승환,또 오해영 (tvN 월화드라마) OST - Part.5
91,잠 못 드는 밤 비는 내리고,아이유(IU),꽃갈피 둘
92,The Greatest Show,Hugh Jackman(휴 잭맨),위대한 쇼맨 (The Greatest Showman) OST
93,가을 아침,아이유(IU),꽃갈피 둘
94,Santa Tell Me,Ariana Grande(아리아나 그란데),Santa Tell Me
95,What Lovers Do (feat. SZA),Maroon 5(마룬 파이브),Red Pill Blues [Deluxe Edition]
96,사랑하지 않은 것처럼,버즈,'Be One' - Buzz The 1st Mini Album
97,Something Just Like This,The Chainsmokers(체인스모커스),Memories...Do Not Open
98,MOMOM(몸마음),오혁(OhHyuk),MOMOM(몸마음)
99,마음이 Choppy (Feat. 허내인) (Prod. BOYCOLD),식케이 (Sik-K),마음이 Choppy
100,처음부터 너와 나,볼빨간사춘기,군주 - 가면의 주인 (MBC 수목드라마) OST - Part.2
